,Domain Name,Segmentation 1,Segmentation 2,GPT Segmentation,English? (Yes/No)
14257,aureuslab.com,aureus|lab,,aureus|lab,
61101,cristina-oatley.com,cristina|oatley,,cristina|oatley,
45667,jiaosemrmf.com,jiaos|emrmf,,jiao|sem|rmf,
35666,ebusinessintegrator.com,e|business|integrator,,e|business|integrator,
24306,boolytics.com,boolytics,,boo|lytics,
62683,agrihn.com,agrihn,,agri|hn,
51569,faroojbeirut.com,faroo|j|beirut,,farooj|beirut,
10338,ferriscompany.com,ferris|company,,ferris|company,
30681,districtofcolumbiaincorporation.com,district|of|columbia|incorporation,,district|of|columbia|incorporation,
22928,autoodorblaster.com,auto|odor|blaster,,auto|odor|blaster,
21027,gembaistanbul.com,gemba|istanbul,,gemba|istanbul,
8711,5m12s4q8qr72blrcbsmo07illrsqphbv.com,5m12s4q8qr72blrcbsmo07illrsqphbv,,5m|12s|4q8qr|72|bl|rcb|smo|07|ill|rsq|ph|bv,
91586,hunnyb.com,hunny|b,,hunny|b,
93011,firstaim.com,first|aim,,first|aim,
27794,creativehanddesign.com,creative|hand|design,,creative|hand|design,
88212,hameau-podvin.com,hameau|podvin,,hameau|podvin,
6152,chanceinfinie.com,chance|infinie,,chance|infinie,
77991,amegatechnologies.com,a|mega|technologies,,amega|technologies,
31612,delavuellc.com,de|lavue|llc,,delaveu|llc,
73160,fortworthdentalimplantcenter.com,fort|worth|dental|implant|center,,fort|worth|dental|implant|center,
77744,antorchasperu.com,antor|chas|peru,,antorchas|peru,
22939,boilervatenexpert.com,boiler|vaten|expert,,boiler|vaten|expert,
54221,haciendadelmarcr.com,hacienda|del|marc|r,,hacienda|del|mar|cr,
56000,franevolution.com,fran|evolution,,fran|evolution,
15523,hgch2vgtasn468mh9gbt4d1gjmfr3vus.,hgch2vgtasn468mh9gbt4d1gjmfr3vus,,hgch2|vgtasn|468|mh|9g|bt4|d1|gjmfr|3,
77608,iamvellb.com,i|am|vell|b,,iam|vell|b,
20512,agu-boz3c.com,agu|boz3c,,agu|boz|3c,
20125,expococha.com,expo|cocha,,expo|cocha,
12312,bigbluefranchising.com,big|blue|franchising,,big|blue|franchising,
82523,hyundaidept.com,hyundai|dept,,hyundai|dept,
67742,destinoatleta.com,destino|atleta,,destino|atleta,
98842,emelinelabat.com,emeline|lab|at,,emeline|labat,
48403,cayetanaspalmeritas.com,cayetanas|palmeritas,,cayetanas|palmeritas,
76945,74233.com,74233,,74233,
60552,518area.com,518|area,,518|area,
27658,designerretainer.com,designer|retainer,,designer|retainer,
15435,isabellaadamsart.com,isabella|adams|art,,isabella|adams|art,
24399,cvcprs.com,cvcprs,,cvc|prs,
94691,juliaysergiosecasan.com,julia|y|sergios|ecasan,,julia|y|sergio|se|casan,
81518,barbarawester.com,barbara|wester,,barbara|wester,
25145,digitalsellersacademycourse.com,digital|sellers|academy|course,,digital|sellers|academy|course,
67568,brightterm.com,bright|term,,bright|term,
71170,getfree4u.com,get|free|4|u,,get|free|4u,
42480,afftour.com,aff|tour,,aff|tour,
49071,arbyfs.com,arby|fs,,arb|yfs,
99760,curvesandsun.com,curves|and|sun,,curves|and|sun,
66026,ferrisellis.com,ferris|ellis,,ferris|ellis,
96297,autosenergy.com,autos|energy,,autos|energy,
40902,cascadewell.com,cascade|well,,cascade|well,
59786,fef31641t5s.com,fef31641t5s,,fef|316|41t|5s,
32751,herchichair.com,herchi|chair,,her|chi|chair,
34580,acuityplusmentalhealth.com,acuity|plus|mental|health,,acuity|plus|mental|health,
8736,bloomnutritionist.com,bloom|nutritionist,,bloom|nutritionist,
87020,chateau-st-laurent.com,chateau|st|laurent,,chateau|st|laurent,
84891,drrichardhatfieldmd.com,dr|richard|hatfield|md,,dr|richard|hatfield|md,
28581,banditzllc.com,banditz|llc,,banditz|llc,
61590,cualuoihaithi.com,cua|luo|ihaithi,,cual|uoi|hai|thi,
61644,indirimpy.com,indirimpy,,indir|impy,
4331,9to5yourway.com,9|to|5|your|way,,9|to|5|your|way,
74852,creatividadysalud.com,creatividad|y|salud,,creatividad|y|salud,
35338,airwuliu.com,air|wu|liu,,air|wuliu,
53441,chs-student.com,chs|student,chs|student,chs|student,Yes
30134,iichajd.com,iichajd,iichajd,ii|chajd,No
33725,informaticasicurezza.com,informaticas|icurezza,informatica|sicurezza,informatica|sicurezza,No
49352,allianceoverseas.com,alliance|over|seas,alliance|overseas,alliance|overseas,Yes
49506,cruisepiratesclub.com,cruise|pirates|club,cruise|pirates|club,cruise|pirates|club,Yes
21373,jamesflorentino.com,james|florentino,james|florentino,james|florentino,Yes
77070,farmcoinc.com,farm|coin|c,farm|co|inc,farm|co|inc,Yes
40023,cafeayv.com,cafe|ayv,cafe|ayv,cafe|ayv,Yes
14224,cavcocanvas.com,cavco|canvas,cavco|canvas,cavco|canvas,Yes
73076,2701riverhillsroad.com,2701|river|hills|road,2701|river|hills|road,2701|river|hills|road,Yes
45714,evcharge4free.com,ev|charge|4|free,ev|charge|4|free,ev|charge|4|free,Yes
14613,bocadoor.com,boca|door,boca|door,boca|door,Yes
47413,instantbeema.com,instant|beema,instant|beema,instant|beema,Yes
50068,b-daman.com,b|daman,b|daman,b|daman,Yes
53687,ironwoodband.com,iron|wood|band,iron|wood|band,iron|wood|band,Yes
37949,helpponouto.com,help|pon|outo,help|ponouto,help|pon|outo,Yes
96014,funding1.com,funding|1,funding|1,funding|1,Yes
79940,berniehsu.com,bernie|hsu,bernie|hsu,bernie|hsu,Yes
59394,atlprogress.com,atl|progress,atl|progress,atl|progress,Yes
70680,aurorafruit.com,aurora|fruit,aurora|fruit,aurora|fruit,Yes
49327,costcoguru.com,costco|guru,costco|guru,costco|guru,Yes
54736,desinis.com,desinis,desinis,desinis,Yes
56863,iuncommon.com,i|uncommon,i|uncommon,i|uncommon,Yes
18765,crontana.com,crontana,crontana,cron|tana,No
9247,16eg4hbm42a7hlmb9h6pf747p3lefa7d.com,16eg4hbm42a7hlmb9h6pf747p3lefa7d,16eg4hbm42a7hlmb9h6pf747p3lefa7d,16|eg4hbm42a7|hlmb9|h6pf|747|p3|le|fa|7d,No
60404,hybridclinician.com,hybrid|clinician,hybrid|clinician,hybrid|clinician,Yes
47145,alpeni.com,al|peni,alpeni,alpen|i,No
23216,bd4254.com,bd4254,bd4254,bd|4254,No
33251,hedera-garden.com,hedera|garden,hedera|garden,hedera|garden,Yes
71690,communautedugout.com,communaute|dug|out,communaute|dugout,communaut|e|dugout,Yes
93590,elviesinn.com,elvies|inn,elvies|inn,elvies|inn,Yes
10596,infinitybiologix.com,infinity|biologix,infinity|biologix,infinity|biologix,Yes
21258,didacti-todo.com,didacti|to|do,didacti|todo,didacti|todo,Yes
25663,123planet.com,123|planet,123|planet,123|planet,Yes
70296,gis-mu.com,gis|mu,gis|mu,gis|mu,Yes
39541,defilex.com,defile|x,defilex,defile|x,Yes
70313,curtiszimmerman.com,curtis|zimmerman,curtis|zimmerman,curtis|zimmerman,Yes
91130,37brompton.com,37|brompton,37|brompton,37|brompton,Yes
31773,johnmoriartyart.com,john|mori|art|y|art,john|moriarty|art,john|moriarty|art,Yes
82175,ferienwohnung-wf.com,ferien|wohnung|wf,ferienwohnung|wf,ferien|wohnung|wf,No
60890,abroadmilestones.com,a|broad|mile|stones,abroad|mile|stones,abroad|milestones,Yes
27212,heiligegraal.com,heili|gegraal,heiligegraal,heilige|graal,No
92232,jcqfilms.com,jcq|films,jcq|films,jcq|films,Yes
7918,christianchenliu.com,christian|chen|liu,christian|chen|liu,christian|chen|liu,Yes
84529,cbandslandscaping.com,c|bands|land|scaping,cb|and|s|landscaping,cb|and|s|landscaping,Yes
97915,dougstoughenterprise.com,dougs|tough|enterprise,dougs|tough|enterprise,doug|stough|enterprise,Yes
81050,cmd-e.com,cmd|e,cmd|e,cmd|e,Yes
84169,drttob.com,dr|t|tob,dr|t|tob,dr|ttob,Yes
23057,encinitasmortgage.com,encinitas|mortgage,encinitas|mortgage,encinitas|mortgage,Yes
53991,elenavalle.com,elena|valle,elena|valle,elena|valle,Yes
84657,doufi2.com,doufi|2,doufi2,doufi|2,Yes
86654,freemortgagepaymentcalculator.com,free|mortgage|payment|calculator,free|mortgage|payment|calculator,free|mortgage|payment|calculator,Yes
6728,codeoverfit.com,code|over|fit,code|over|fit,code|over|fit,Yes
29196,ceremoniesbyhayley.com,ceremonies|by|hayley,ceremonies|by|hayley,ceremonies|by|hayley,Yes
94977,ageless-longevity.com,ageless|longevity,ageless|longevity,ageless|longevity,Yes
24685,eliteperformancestudios.com,elite|performance|studios,elite|performance|studios,elite|performance|studios,Yes
80479,ascottstarrewards.com,a|scott|star|rewards,ascott|star|rewards,ascott|star|rewards,Yes
35620,ambienceonline.com,ambience|online,ambience|online,ambience|online,Yes
9421,idealprintingservice.com,ideal|printing|service,ideal|printing|service,ideal|printing|service,Yes
98853,donandjamie.com,don|and|jamie,don|and|jamie,don|and|jamie,Yes
49069,empowersvces.com,empowers|vces,empower|svces,empowers|vces,Yes
82936,experiencetas.com,experience|tas,experience|tas,experience|tas,Yes
41371,axisequity.com,axis|equity,axis|equity,axis|equity,Yes
50503,igrecrm.com,igrecrm,igrecrm,igre|crm,No
13327,beaboatdog.com,be|a|boat|dog,be|a|boat|dog,bea|boat|dog,Yes
66238,dilyano.com,dil|yano,dilyano,dily|ano,No
91796,gpzxzhjt.com,gpzxzhjt,gpzxzhjt,gpzx|zhjt,No
12736,994791.com,994791,994791,994|791,No
40177,ennerwebs.com,enner|webs,enner|webs,enner|webs,Yes
35876,belron-tmd2test.com,belron|tmd|2|test,belron|tmd|2|test,belron|tmd|2|test,Yes
31962,6699587.com,6699587,6699587,6699587,No
70478,indiancaregiver.com,indian|care|giver,indian|care|giver,indian|caregiver,Yes
41961,gfibelgium.com,gfi|belgium,gfi|belgium,gfi|belgium,Yes
15098,emacoaches.com,ema|coaches,ema|coaches,ema|coaches,Yes
92319,arabianpeca.com,arabian|peca,arabian|peca,arabian|peca,Yes
33731,donatesphere.com,donate|sphere,donate|sphere,donate|sphere,Yes
8765,estipreneurship.com,estipreneurship,estipreneurship,esti|preneurship,Yes
94678,immunomedics-gilead.com,immuno|medics|gi|lead,immunomedics|gilead,immuno|medics|gilead,Yes
67523,gffoundations.com,gf|foundations,gf|foundations,gf|foundations,Yes
21937,ahfeelsgood.com,ah|feels|good,ah|feels|good,ah|feels|good,Yes
53765,jrtires.com,jr|tires,jr|tires,jr|tires,Yes
20762,autoblog.com,auto|blog,auto|blog,auto|blog,Yes
1274,bellahalo.com,bella|halo,bella|halo,bella|halo,Yes
26655,ipne.com,ipne,ipne,ipne,Yes
30669,achimlelle.com,achim|lelle,achimlelle,achim|lelle,No
73328,advancedmycotech.com,advanced|my|co|tech,advanced|myco|tech,advanced|myco|tech,Yes
38415,desertplumberssuncitywest.com,desert|plumbers|sun|city|west,desert|plumbers|sun|city|west,desert|plumbers|sun|city|west,Yes
34691,asiaarchitects.com,asia|architects,asia|architects,asia|architects,Yes
7638,hltjmmj.com,hltjmmj,hltjmmj,hlt|jmmj,Yes
5461,evenements-actu.com,evenements|actu,evenements|actu,evenements|actu,Yes
88711,frameless-whiteboard.com,frameless|whiteboard,frameless|white|board,frame|less|white|board,Yes
36708,cshjsy.com,cshjsy,cshjsy,csh|jsy,Yes
72155,creatsie.com,creatsie,creatsie,creats|ie,Yes
11282,hertztrailerrentalsite.com,hertz|trailer|rental|site,hertz|trailer|rental|site,hertz|trailer|rental|site,Yes
1408,arpaymenthelp.com,ar|payment|help,ar|payment|help,ar|payment|help,Yes
32678,eagsystems.com,eag|systems,eag|systems,eag|systems,Yes
68608,helixts.com,helix|ts,helix|ts,helix|ts,Yes
34035,intellabilling.com,intella|billing,intella|billing,intella|billing,Yes
55235,duecvccjc8srad7mpub4rpjjul8f1ucb.com,duecvccjc8srad7mpub4rpjjul8f1ucb,duecvccjc8srad7mpub4rpjjul8f1ucb,duec|vcjc|8s|rad7|mpub4|rpjj|ul8|f1|ucb,No
84437,espace-prana.com,espace|prana,espace|prana,espace|prana,Yes
13668,digitalprintbr.com,digital|print|br,digital|print|br,digital|print|br,Yes
81548,itectt.com,ite|ctt,itectt,ite|ctt,Yes
26206,discoverymediaonline.com,discovery|media|online,discovery|media|online,discovery|media|online,Yes
54491,fiqaoas6dve2l0qf582eqmjrj8bhuud5.com,fiqaoas6dve2l0qf582eqmjrj8bhuud5,fiqaoas6dve2l0qf582eqmjrj8bhuud5,fiq|aoas|6d|ve|2|l0|qf|582|eq|mjr|j8|bhuu|d5,No
85005,allthingsfoxvalley.com,all|things|fox|valley,all|things|fox|valley,all|things|fox|valley,Yes
53629,deliverthisapp.com,deliver|this|app,deliver|this|app,deliver|this|app,Yes
69937,joelgavino.com,joel|gavino,joel|gavino,joel|gavino,Yes
50277,ae3gidg3os1m84fjra1q7i23dromhcu6.com,ae3gidg3os1m84fjra1q7i23dromhcu6,ae3gidg3os1m84fjra1q7i23dromhcu6,ae|3|gidg|3os|1m|84|fjra|1q7|i|23|drom|hcu|6,No
72867,dateine.com,date|ine,dateine,date|ine,Yes
27717,batbnb.com,bat|bnb,bat|bnb,bat|bnb,Yes
16011,carbonwingz.com,carbon|wingz,carbon|wingz,carbon|wingz,Yes
63571,davidpatey.com,david|patey,david|patey,david|patey,Yes
69600,7853.com,7853,7853,7853,No
45692,chensizhe.com,chensi|zhe,chen|si|zhe,chen|si|zhe,No
7265,camoetc.com,camo|etc,camo|etc,camo|etc,Yes
95394,europlayhub.com,euro|play|hub,euro|play|hub,euro|play|hub,Yes
8007,ep0lf8iaf07ofa0i0b420097nrrqis5g.com,ep0lf8iaf07ofa0i0b420097nrrqis5g,ep0lf8iaf07ofa0i0b420097nrrqis5g,ep|0lf|8ia|f07|ofa|0i|0b4|20|097|nrr|qis|5g,No
26924,hubcanopy.com,hub|canopy,hub|canopy,hub|canopy,Yes
89212,bizbuzzbyte.com,biz|buzz|byte,biz|buzz|byte,biz|buzz|byte,Yes
90614,b45064.com,b45064,b45064,b|45064,No
1726,imsoanxious.com,im|so|anxious,im|so|anxious,im|so|anxious,Yes
68750,comercialrupe.com,comercial|rupe,comercial|rupe,comercial|rupe,Yes
95939,drfitnessint.com,dr|fitness|int,dr|fitness|int,dr|fitness|int,Yes
57304,ichigoutei.com,ichigo|utei,ichigoutei,ichi|goutei,No
13489,blanc-co.com,blanc|co,blanc|co,blanc|co,Yes
25155,ibizarec.com,ibiza|rec,ibiza|rec,ibiza|rec,Yes
48293,alchemyofresilience.com,alchemy|of|resilience,alchemy|of|resilience,alchemy|of|resilience,Yes
13653,frequencysocial.com,frequency|social,frequency|social,frequency|social,Yes
33618,jellychameleon.com,jelly|chameleon,jelly|chameleon,jelly|chameleon,Yes
54450,jnvyavatmal.com,jnvyavatmal,jnvyavatmal,jnv|yavatmal,No
38719,burgessadams.com,burgess|adams,burgess|adams,burgess|adams,Yes
28642,golxmse.com,golxmse,golxmse,gol|xmse,No
50676,365wm95.com,365wm95,365wm95,365|wm|95,No
63343,gargleblastergames.com,gargle|blaster|games,gargle|blaster|games,gargle|blaster|games,Yes
24439,justlotus.com,just|lotus,just|lotus,just|lotus,Yes
5163,circularletters.com,circular|letters,circular|letters,circular|letters,Yes
45172,izcutie.com,iz|cutie,iz|cutie,iz|cutie,Yes
72028,ayuntamientodegelves.com,ayunta|miento|de|gelves,ayuntamientodegelves,ayuntamiento|de|gelves,No
37488,citylocalcommunity.com,city|local|community,city|local|community,city|local|community,Yes
5601,efficientbranding.com,efficient|branding,efficient|branding,efficient|branding,Yes
31999,healingwithhumandesign.com,healing|with|human|design,healing|with|human|design,healing|with|human|design,Yes
61414,getwinpartners.com,get|win|partners,get|win|partners,get|win|partners,Yes
82493,grubhubz.com,grub|hubz,grub|hubz,grubhub|z,Yes
19661,enirgo.com,en|irgo,enirgo,enir|go,No
44962,hildepr.com,hilde|pr,hilde|pr,hilde|pr,Yes
60892,astrangertowords.com,a|stranger|to|words,a|stranger|to|words,a|stranger|to|words,Yes
86600,98444.com,98444,98444,98444,No
92792,briantruncali.com,brian|truncali,brian|truncali,brian|truncali,Yes
37882,justnaturallyme.com,just|natural|lyme,just|naturally|me,just|naturally|me,Yes
12305,155racing.com,155|racing,155|racing,155|racing,Yes
79724,funnyfarmrenovation.com,funny|farm|renovation,funny|farm|renovation,funny|farm|renovation,Yes
67674,atohio.com,at|ohio,at|ohio,at|ohio,Yes
51407,crosscultureinnovations.com,cross|culture|innovations,cross|culture|innovations,cross|culture|innovations,Yes
28026,endterrorism.com,end|terrorism,end|terrorism,end|terrorism,Yes
67715,clasesenarrigorriaga.com,clases|en|arrigorriaga,clasesenarrigorriaga,clase|sen|arri|gorriaga,No
69196,justinsiris.com,justins|iris,just|in|siris,justin|siris,Yes
23076,estesblue.com,estes|blue,estes|blue,estes|blue,Yes
42337,jaggeddiamond.com,jagged|diamond,jagged|diamond,jagged|diamond,Yes
28695,healthyhabitsvip.com,healthy|habits|vip,healthy|habits|vip,healthy|habits|vip,Yes
47898,barrieneurologyclinic.com,barrie|neurology|clinic,barrie|neurology|clinic,barrie|neurology|clinic,Yes
83022,gcjigui.com,gcji|gui,gcjigui,gc|jigui,No
41511,brandingbarnd.com,branding|barnd,branding|barn|d,branding|barnd,Yes
31726,audreyanastasia.com,audrey|anastasia,audrey|anastasia,audrey|anastasia,Yes
57287,estudiarlo.com,estudiarlo,estudiarlo,estudiar|lo,No
10909,fastrrentals.com,fastr|rentals,fastr|rentals,fastr|rentals,Yes
58717,emartmutual.com,emart|mutual,emart|mutual,emart|mutual,Yes
21239,drzahrahatamzadeh.com,dr|zahra|hatamzadeh,dr|zahra|hatamzadeh,dr|zahra|hatamzadeh,Yes
21147,floodstory.com,flood|story,flood|story,flood|story,Yes
82279,bagzladye-accessories2.com,bagz|ladye|accessories|2,bagz|lady|e|accessories|2,bagz|ladye|accessories|2,Yes
36448,cseasadmenerance.com,csea|sad|men|erance,cseasadmenerance,c|seas|admen|erance,No
32606,dilemmathegame.com,dilemma|the|game,dilemma|the|game,dilemma|the|game,Yes
28039,extensivebs.com,extensive|bs,extensive|bs,extensive|bs,Yes
28714,bluesurfgroup.com,blue|surf|group,blue|surf|group,blue|surf|group,Yes
98249,expertqbadvisors.com,expert|qb|advisors,expert|qb|advisors,expert|qba|dvisors,Yes
89202,blueantcreative.com,blue|ant|creative,blue|ant|creative,blue|ant|creative,Yes
84899,5ov164ncd6j075nl6rnmti9lv2o2fsv6.com,5ov164ncd6j075nl6rnmti9lv2o2fsv6,5ov164ncd6j075nl6rnmti9lv2o2fsv6,5ov|164|ncd|6j|075|nl|6rn|mti|9lv|2o2f|sv6,No
63715,315320.com,315320,315320,315320,No
85974,handandhearttherapy.com,hand|and|heart|therapy,hand|and|heart|therapy,hand|and|heart|therapy,Yes
53353,146press.com,146|press,146|press,146|press,Yes
31379,cyclecraftco.com,cycle|craft|co,cycle|craft|co,cycle|craft|co,Yes
95584,fullofeyes.com,full|of|eyes,full|of|eyes,full|of|eyes,Yes
20781,heimscheid.com,heim|scheid,heimscheid,heimscheid,No
40078,donovanswall.com,donovans|wall,donovans|wall,donovan|s|wall,Yes
29886,celebchatbot.com,celeb|chat|bot,celeb|chat|bot,celeb|chat|bot,Yes
54670,beehealthy.com,bee|healthy,bee|healthy,bee|healthy,Yes
36606,elitelabdiamond.com,elite|lab|diamond,elite|lab|diamond,elite|lab|diamond,Yes
514,coordinateursparentaux.com,coordinate|urs|parent|aux,coordinate|urs|parent|aux,coordinateurs|parentaux,Yes
9866,eddysattractions.com,eddys|attractions,eddys|attractions,eddys|attractions,Yes
43800,ercupdates.com,er|cup|dates,er|cup|dates,erc|updates,Yes
22229,criticalwitness.com,critical|witness,critical|witness,critical|witness,Yes
91057,imgevervalleyhealth.com,img|ever|valley|health,img|ever|valley|health,imge|rvalley|health,Yes
84522,hallingers.com,hallingers,hallingers,hall|ingers,Yes
76016,eprnd.com,eprnd,eprnd,eprnd,Yes
76533,asdeliveryservice.com,as|delivery|service,as|delivery|service,as|delivery|service,Yes
41638,fzshtgs.com,fzshtgs,fzshtgs,fzs|htgs,No
62477,baoyfc.com,baoyfc,baoyfc,baoy|fc,No
38665,contractorsteamllc.com,contractor|steam|llc,contractors|team|llc,contractors|team|llc,Yes
6925,enziglow.com,enzig|low,enzi|glow,enz|i|glow,Yes
11670,catchr-guiding.com,catchr|guiding,catchr|guiding,catch|r|guiding,Yes
52744,aquatechus.com,aqua|tech|us,aqua|tech|us,aqua|tech|us,Yes
59918,jgw987.com,jgw987,jgw987,jgw|987,No
23748,apogeeze.com,apogeeze,apogeeze,apo|geeze,Yes
92695,heartothemountain.com,heart|o|the|mountain,hear|to|the|mountain,heart|of|the|mountain,Yes
90300,e-statevolando.com,e|state|volando,e|state|volando,e|state|volando,Yes
59145,fitprosdoneforyou.com,fit|pros|done|for|you,fit|pros|done|for|you,fit|pros|done|for|you,Yes
94815,asterisies.com,aster|isies,asterisies,aster|isies,Yes
59632,bdjuniversal.com,bdj|universal,bdj|universal,bdj|universal,Yes
26108,collectionsineurope.com,collections|in|europe,collections|in|europe,collections|in|europe,Yes
74569,ceylontrendy.com,ceylon|trendy,ceylon|trendy,ceylon|trendy,Yes
37590,airepe-gz.com,airepe|gz,airepe|gz,airepe|gz,Yes
91789,artwye.com,art|wye,art|wye,art|wye,Yes
82702,gerathemetalsmith.com,gera|the|metal|smith,gera|the|metal|smith,gera|the|metal|smith,Yes
50866,diyfl.com,diy|fl,diy|fl,diy|fl,Yes
4880,flfree.com,fl|free,fl|free,fl|free,Yes
41666,eaglesyouthsports.com,eagles|youth|sports,eagles|youth|sports,eagles|youth|sports,Yes
75671,anaelearning.com,ana|elearning,anae|learning,anae|learning,Yes
93824,hillsidefitness101.com,hill|side|fitness|101,hill|side|fitness|101,hillside|fitness|101,Yes
77062,heolanicreations.com,heol|ani|creations,heo|lani|creations,heolani|creations,Yes
32046,aspenpdm.com,aspen|pdm,aspen|pdm,aspen|pdm,Yes
66551,cosimogalluzzi.com,cosimo|galluzzi,cosimo|galluzzi,cosimo|galluzzi,Yes
42474,beavercountyapartments.com,beaver|county|apartments,beaver|county|apartments,beaver|county|apartments,Yes
76734,intimatemusicgroup.com,intimate|music|group,intimate|music|group,intimate|music|group,Yes
82045,codenameacacia.com,code|name|acacia,code|name|acacia,code|name|acacia,Yes
29803,dropintotech.com,drop|in|to|tech,drop|into|tech,drop|in|to|tech,Yes
81816,6958xxx.com,6958|xxx,6958|xxx,6958|xxx,Yes
90457,hdhuanwei.com,hd|huan|wei,hd|huan|wei,hd|huanwei,No
44078,hitspurist.com,hits|purist,hits|purist,hits|purist,Yes
52848,czjiu.com,cz|jiu,cz|jiu,cz|jiu,No
87332,c9mtestpage1.com,c9m|test|page|1,c9m|test|page|1,c9m|test|page|1,Yes
3484,incubationbrands.com,incubation|brands,incubation|brands,incubation|brands,Yes
82448,jrlawgroup.com,jr|law|group,jr|law|group,jr|law|group,Yes
48057,barber108.com,barber|108,barber|108,barber|108,Yes
99274,demaddis.com,de|maddis,demaddis,dem|addis,No
25793,fromagier.com,from|agier,from|agier,from|agier,Yes
47959,instashem.com,insta|shem,insta|shem,insta|shem,Yes
91179,beverlyhillsaddress.com,beverly|hills|address,beverly|hills|address,beverly|hills|address,Yes
10928,hammondgowerserver.com,hammond|gower|server,hammond|gower|server,hammond|gower|server,Yes
94061,emergency-hr.com,emergency|hr,emergency|hr,emergency|hr,Yes
95753,cammousepad.com,cam|mouse|pad,cam|mouse|pad,cam|mouse|pad,Yes
29471,ivzpto.com,ivzpto,ivzpto,ivz|pto,No
69119,evgeniyach.com,evgeniyach,evgeniyach,evgeniya|ch,No
4846,bdf-7788.com,bdf|7788,bdf|7788,bdf|7788,No
72183,amandagibbypeters.com,amanda|gibby|peters,amanda|gibby|peters,amanda|gibby|peters,Yes
74974,flathams.com,flat|hams,flat|hams,flat|hams,Yes
30651,afroculture.com,afro|culture,afro|culture,afro|culture,Yes
49914,esearchlogix.com,e|search|logix,e|search|logix,e|search|logix,Yes
48893,designguard.com,design|guard,design|guard,design|guard,Yes
73286,allairedavis.com,all|aire|davis,allaire|davis,allaire|davis,Yes
26153,2lovecycling.com,2|love|cycling,2|love|cycling,2|love|cycling,Yes
91468,eminola.com,eminola,eminola,emi|nola,Yes
22811,boutiquehrservice.com,boutique|hr|service,boutique|hr|service,boutique|hr|service,Yes
70004,cruise-tv.com,cruise|tv,cruise|tv,cruise|tv,Yes
97268,bob11962.com,bob|11962,bob|11962,bob|11962,Yes
76421,amie-myanmaragency.com,amie|myanmar|agency,amie|myanmar|agency,amie|myanmar|agency,Yes
77847,a-damselintheus.com,a|damsel|in|the|us,a|damsel|in|the|us,a|damsel|in|the|us,Yes
57881,dfiestas4u.com,d|fiestas|4|u,d|fiestas|4|u,df|iestas|4u,Yes
50205,jagt13.com,jagt13,jagt13,jagt|13,Yes
42447,donatospizza.com,donatos|pizza,donatos|pizza,donatos|pizza,Yes
60815,bouillouses.com,bouil|louses,bouillouses,bouillouses,No
13983,hanglun.com,hang|lun,hang|lun,hang|lun,No
80823,gritcases.com,grit|cases,grit|cases,grit|cases,Yes
48016,hvyf.com,hvyf,hvyf,hvyf,Yes
2551,counsellingviazoom.com,counselling|via|zoom,counselling|via|zoom,counselling|via|zoom,Yes
18301,dropshippingstraybullet.com,drop|shipping|stray|bullet,drop|shipping|stray|bullet,drop|shipping|stray|bullet,Yes
20761,hugodelivery.com,hugo|delivery,hugo|delivery,hugo|delivery,Yes
1915,9898977.com,9898977,9898977,989|8977,No
30061,adriano-ads.com,adriano|ads,adriano|ads,adriano|ads,Yes
54446,hyzcys.com,hyzcys,hyzcys,hyzcys,No
9016,experienciasdoser.com,experiencias|doser,experiencias|doser,experiencias|do|ser,No
19311,fflluxe.com,fflluxe,ffl|luxe,ffl|luxe,Yes
12831,guaccilogistics.com,guacci|logistics,guacci|logistics,guac|co|logistics,Yes
15407,avamaerowe.com,ava|mae|rowe,avamaerowe,ava|mae|rowe,No
36942,beginnertailwind.com,beginner|tail|wind,beginner|tail|wind,beginner|tail|wind,Yes
61477,floatingspheres.com,floating|spheres,floating|spheres,floating|spheres,Yes
55084,csepoalphatech.com,csepoalpha|tech,cse|po|alpha|tech,csep|o|alpha|tech,Yes
95134,expertradings.com,exper|tradings,expert|radings,expert|radings,Yes
54704,estherwanecoaching.com,esther|wane|coaching,esther|wane|coaching,esther|wane|coaching,Yes
5170,goodstay.com,good|stay,good|stay,good|stay,Yes
89621,heng93.com,heng93,heng|93,heng|93,No
73112,finansustrategas.com,finansu|strategas,finansustrategas,finans|us|strategas,No
1065,heretome.com,here|to|me,here|to|me,here|to|me,Yes
27547,365ttbuy.com,365|tt|buy,365|tt|buy,365|tt|buy,Yes
91306,americanfirstusa.com,american|first|usa,american|first|usa,american|first|usa,Yes
59659,bilheteweb.com,bilhete|web,bilhete|web,bilhete|web,Yes
68648,downtownoasis.com,down|town|oasis,downtown|oasis,downtown|oasis,Yes
95132,halcophelps.com,hal|cop|helps,halco|phelps,halco|phelps,Yes
78456,jl128.com,jl128,jl|128,jl|128,No
95327,jaredsrealm.com,jareds|realm,jareds|realm,jareds|realm,Yes
59560,driftsouth.com,drift|south,drift|south,drift|south,Yes
30122,calvinflippo.com,calvin|flippo,calvin|flippo,calvin|flippo,Yes
23925,ip15.com,ip|15,ip|15,ip|15,Yes
63496,jaedonlondagin.com,jaedon|londagin,jaedon|londagin,jaedon|londagin,Yes
8266,3dayoffer646.com,3|day|offer|646,3|day|offer|646,3|day|offer|646,Yes
33591,bidingguo.com,bi|ding|guo,bi|ding|guo,biding|guo,No
72620,avcovalves.com,avco|valves,avco|valves,avco|valves,Yes
