,0,1,2,3,4,instant_segment,5,"Disagreement Type (D, P, C, F, T, N)",D = Disagreement
1243,9876,effalldebt.com,effall|debt,eff|all|debt,eff|all|debt,eff|all|debt,Yes,D,
1247,82115,fivediamondsedanservice.com,five|diamond|sedan|service,five|diamonds|edan|service,five|diamond|sedan|service,five|diamond|sedan|service,Yes,D,
1248,8170,5wuma.com,5wuma,5w|uma,5|wuma,wum|a,No,R,
1249,83525,ibsbelladc.com,ibs|bell|adc,ibs|bella|dc,ibs|bella|dc,ibs|bella|dc,Yes,D,
1251,56794,headwaterinfo.com,head|water|info,headwater|info,head|water|info,headwater|info,Yes,C,
1255,91505,bellounette.com,bell|ounette,bello|unette,bello|unette,bell|ou|nette,No,F,
1264,18952,allmetsafetytools.com,allmet|safety|tools,all|met|safety|tools,all|met|safety|tools,all|met|safety|tools,Yes,D,
1266,13868,didaoxian.com,didao|xian,didaoxian,didao|xian,did|a|oxi|an,No,F,
1272,38463,almostaghfirmobile.com,almost|aghfir|mobile,almost|agh|firm|obile,almost|agh|firm|mobile,almost|a|gh|fir|mobile,Yes,D,
1280,9986,ibonetxebeste.com,ibonetxebeste,ibone|txebeste,ibone|txebeste,i|bone|tx|e|beste,No,F,
1284,28672,getecosystem.com,get|eco|system,get|ecosystem,get|ecosystem,get|ecosystem,Yes,C,
1288,5506,danielepillittu.com,daniel|e|pillittu,daniele|pillittu,daniele|pillittu,daniele|pill|it|tu,Yes,N,
1290,248,fnnow.com,fnnow,fn|now,fn|now,fn|now,Yes,R,
1295,60531,hugorhill.com,hug|or|hill,hugo|r|hill,hugor|hill,hug|or|hill,Yes,D,
1296,4454,aiamaine.com,aiamaine,aia|maine,aia|maine,aia|maine,Yes,D,
1298,26572,airconditionerslahabra.com,air|conditioners|lahabra,air|conditioners|la|habra,air|conditioners|la|habra,air|conditioners|la|habra,Yes,F,
1301,66151,indilisa.com,indilisa,indi|lisa,indilisa,indi|lisa,Yes,D,
1304,65995,bacbtu.com,bacbtu,bac|btu,bac|btu,bac|btu,Yes,R,
1310,7260,aliexbest.com,ali|exbest,aliex|best,ali|ex|best,a|lie|x|best,Yes,D,
1317,14009,cajavus.com,cajavus,caja|vus,caja|vus,caja|v|us,No,F,
1327,63453,ingdna.com,ingdna,ing|dna,ing|dna,ing|dna,Yes,R,
1329,19827,hf88888vip2.com,hf|88888|vip|2,hf88888|vip|2,hf|88888|vip2,hf|vip,Yes,R,
1333,5267,barzito.com,bar|zito,barzito,bar|zito,bar|zito,No,R,
1335,79408,colorleaf-craft.com,color|leaf|craft,colorleaf|craft,color|leaf|craft,color|leaf|craft,Yes,D,
1344,36071,cheryltbo.com,cheryl|t|bo,cheryl|tbo,cheryl|tbo,cheryl|tbo,Yes,N,
1349,13809,bitradehm.com,bit|radehm,bitradehm,bit|rade|hm,bi|trade|hm,No,R,
1359,16551,igrowaz.com,igrowaz,i|grow|az,i|grow|az,i|grow|az,Yes,D,
1362,12778,casangladabenasque.com,casangla|dabenasque,casa|nglada|benasque,casa|nglada|benasque,ca|san|glad|a|ben|as|que,No,F,
1366,46280,avivitdesign.com,avi|vit|design,avivit|design,avi|vit|design,aviv|it|design,Yes,N,
1383,48770,atc86.com,atc|86,atc86,atc|86,at|c,No,R,
1387,10729,alboeyewear.com,albo|eye|wear,albo|eyewear,albo|eyewear,albo|eyewear,Yes,C,
1392,93154,dolgulusimit.com,dolgulus|imit,dolgulu|simit,dol|gulu|sim|it,dol|gulu|sim|it,No,F,
1395,8899,engyluz.com,eng|y|luz,engy|luz,engy|luz,eng|y|luz,No,F,
1396,93591,functionalmedjumpstart.com,functional|med|jump|start,functional|med|jumpstart,functional|med|jumpstart,functional|med|jumpstart,Yes,C,
1399,53695,averhealh.com,averhealh,aver|healh,aver|heal|h,aver|healh,Yes,D,
1400,86992,baizhi178.com,baizhi|178,baizhi178,baizhi|178,bai|zhi,No,F,
1401,70472,jiaxunsy.com,jia|xunsy,jiaxunsy,jiax|un|sy,jia|xun|sy,No,F,
1406,82895,busfactorpodcast.com,bus|factor|pod|cast,bus|factor|podcast,bus|factor|podcast,bus|factor|podcast,Yes,C,
1408,62910,gftab.com,gftab,gf|tab,gf|tab,gf|tab,Yes,R,
1409,53182,basisplaatventielen.com,basis|plaatventielen,basisplaat|ventielen,basis|plaat|ventielen,basis|plaat|venti|elen,No,F,
1410,60870,hanindersachdeva.com,hanindersachdeva,haninder|sachdeva,haninder|sach|deva,han|in|der|sachdeva,No,F,
1420,11770,315huojia.com,315|huo|jia,315|huojia,315|huojia,huo|jia,Yes,F,
1428,70704,equipemadore.com,equip|emadore,equipe|madore,equipe|madore,equipe|madore,No,F,
1444,43229,hbhideaway.com,hb|hide|away,hb|hideaway,hb|hideaway,hb|hideaway,Yes,C,
1446,74805,buyezmessenger.com,buyez|messenger,buy|ez|messenger,buy|ez|messenger,buy|ez|messenger,Yes,D,
1447,94890,esmanumanovic.com,esmanumanovic,esma|numanovic,es|manu|man|ovic,es|man|umano|vic,No,F,
1453,55753,csvrxviagra.com,csvrx|viagra,csv|rx|viagra,csv|rx|viagra,csv|rx|viagra,Yes,D,
1464,33649,insurancecoveragehelpline.com,insurance|coverage|help|line,insurance|coverage|helpline,insurance|coverage|helpline,insurance|coverage|helpline,Yes,C,
1472,5857,dusarishaadi.com,dusarishaadi,dusar|ishaadi,dusa|risha|adi,du|sari|shaadi,No,F,
1484,25584,duodtea.com,duod|tea,duo|d|tea,duo|d|tea,duo|d|tea,Yes,D,
1485,77580,diamond.tisanepal.com,diamond|tisanepal,diamond|tisane|pal,diamond|tisane|pal,diamond|tisa|nepal,Yes,D,
1486,11396,exlash.com,exlash,ex|lash,ex|lash,ex|lash,Yes,R,
1488,84950,crosssellapp.com,crosssell|app,cross|sell|app,cross|sell|app,cross|sell|app,Yes,D,
